,Topics,Cwm,Bangor,Llansadwrn,Swansea,Roch,Cardiff
0,Data Science,0.0,0.0,0.0,0.08300607617028821,0.0,0.5022193799540277
1,Data cloud,0.0,0.0,0.0,0.0,0.0,0.6696233657410714
2,Data management,0.0,0.0,0.0,0.0,0.0,1.6504216961769862
3,Digital,0.0,0.0,0.0,0.0,0.0,2.0210180269787767
4,Functional programming,0.0,0.0,0.0,0.0,0.0,0.0
5,Game Development,0.0,0.0,0.0,0.0,0.0,0.0
6,Marketing,0.0,0.0,0.0,0.0,0.13145663695794546,2.804408255102837
7,Mobile development,0.0,0.0,0.08067473376118915,0.0,0.0,0.3361447240049548
8,Project Management,0.0,0.0,0.0,0.8670675004932508,0.0,0.6723108003824589
9,Security & DIY,0.0,0.0,0.1077559499112531,0.0,0.0,0.0
10,Startups & Mobile tech,0.04571843757282613,0.0,0.0,0.0,0.0,0.04571843757282613
11,User design,0.0,0.0,0.0,1.2091654523576008,0.0,0.4015049386674597
12,Web ,0.04006720585778974,0.04006720585778974,0.04006720585778974,0.04006720585778974,0.0,0.7472880794693004
13,Web Development - Generic,0.0,0.0,0.0,0.05682906879833983,0.05682906879833983,0.9526618442194424
14,Web dev - Technical,0.05527396971256279,0.05527396971256279,0.0,0.6281930526062693,0.0,0.3040068334190953
