,Topics,Cwm,Bangor,Llansadwrn,Swansea,Roch,Cardiff
0,Data Science,0.0,0.0,0.0,0.058106561603970826,0.0,0.3504840223731574
1,Data cloud,0.0,0.0,0.0,0.0,0.0,0.2756034474752045
2,Data management,0.0,0.0,0.0,0.0,0.0,0.17361552188416682
3,Digital,0.0,0.0,0.0,0.0,0.0,0.09777240950454427
4,Functional programming,0.0,0.0,0.0,0.0,0.0,0.0
5,Game Development,0.0,0.0,0.0,0.0,0.0,0.0
6,Marketing,0.0,0.0,0.0,0.0,0.14122521792281495,0.14122521792281495
7,Mobile development,0.0,0.0,0.08513483448390192,0.0,0.0,0.08513483448390192
8,Project Management,0.0,0.0,0.0,0.07572850437548652,0.0,0.391263939273347
9,Security & DIY,0.0,0.0,0.11451138068910892,0.0,0.0,0.0
10,Startups & Mobile tech,0.0469851403322869,0.0,0.0,0.0,0.0,0.0469851403322869
11,User design,0.0,0.0,0.0,0.10385479649213672,0.0,0.3692614986387083
12,Web ,0.04138672947605613,0.04138672947605613,0.04138672947605613,0.04138672947605613,0.0,0.4729911940120701
13,Web Development - Generic,0.0,0.0,0.0,0.05883396670346825,0.05883396670346825,0.4168806783560038
14,Web dev - Technical,0.05776901267287345,0.05776901267287345,0.0,0.11553802534574688,0.0,0.24070421947030604
